"","cname","att_support","arms_export","arms_import","conflict","security_apparatus","aid","commonlaw","treaties","polity","refugee","cinc","threat","gdp","gov_eff"
"93","Kuwait","No support",0,278.4,0.2,5.92,0,0,124,-7,32.1297071129707,0.0017798,0.21342027,10.473980213211,-0.033110809
"94","Kyrgyzstan","No support",2.8,8.666666667,0,3.26,0,0,91,7.2,75.3934426229508,0.0003326,0.88243794,7.09414020094814,-0.91448379
"95","Laos","No support",0,40.33333333,0,4.26,0,0,114,-7,372.336633663366,0.0004857,-0.54136205,7.67896442443919,-0.51050466
"96","Latvia","Strong Support",0,15.8,0,6.86,0.0913114,0,286,8,13.7647058823529,0.0002933,-0.44374722,9.60517028191909,1.0896661
"97","Lebanon","Strong Support",0,52.8,20.8,1.32,0,0,107,6,104.614624505929,0.0009645,1.7025865,9.06825057749148,-0.47422698
"98","Lesotho","Strong Support",0,1,0,4.24140993049506,0,0,126,8,55.4655172413793,0.0000813,0.30842876,7.05177476964406,-0.68434066
"99","Liberia","Strong Support",0,0,0,3.3279498415046,0,0,167,6,106.743178170144,0.0002708,0.81802571,6.5631232451368,-1.3938906
"100","Libya","Weak Support",0,16.8,102.6,0.6,0,0,97,0,2402.40417457306,0.0010642,2.1966283,8.75820946591597,-1.6531652
"101","Liechtenstein","Strong Support",0,0,0,NA,0.573577,0,107,NA,NA,0.0000021,-1.4578404,NA,1.6893317
"102","Lithuania","Strong Support",0,22.6,0,7.04315750528825,0.120345,0,330,10,11.125,0.0003944,-0.759794,9.6591586317858,1.1851659
"103","Luxembourg","Strong Support",0,0,0,8.14,1.002954,0,395,10,1.375,0.0003069,-1.4393984,11.5874416972173,1.7243637
"104","Madagascar","Strong Support",0,0,0.2,2.9,0,0,133,5.4,16.2900763358779,0.0008653,0.42736289,6.07200215871175,-1.2981685
"105","Malawi","Weak Support",0,1.666666667,0,5.26,0,0,136,6,177.5859375,0.0005616,-0.031896148,5.82227067880801,-0.67316061
"106","Malaysia","Weak Support",3,145.4,3,3.58,0,0,273,5.2,138.0625,0.0045372,-0.25895756,9.23382043270796,0.94916385
"107","Maldives","No support",0,0,0,3.8,0,0,88,NA,5.66129032258065,0.0000125,-0.42067152,9.1827635153696,-0.37579274
"108","Mali","Strong Support",0,19,67.6,1.16,0,0,128,5,2131.31198686371,0.0006186,1.6856639,6.68589565153482,-0.93202418
"109","Malta","Strong Support",1,8.666666667,0,6.54,0.1982482,0,170,NA,1.53846153846154,0.0000341,-1.0639386,10.12546785618,0.85062629
"110","Marshall Islands","No support",0,0,0,NA,0,1,61,NA,4.5,0.00000136,-0.91947377,8.18730758600374,-1.6012038
"111","Mauritania","Strong Support",0,14.33333333,0,2.86,0,0,84,-2,588.997183098592,0.0003091,0.63780123,7.11869169620458,-1.0268781
"112","Mauritius","Strong Support",0,24.33333333,0,7.46,0,0,145,10,12.8053097345133,0.0000477,-0.99861538,9.19468873586694,1.0494409
"113","Mexico","Strong Support",0,202,222.2,1.9,0,0,165,8,1390.71291866029,0.0150392,0.79869908,9.16203301009397,0.20970473
"114","Micronesia (Federated States of)","No support",0,0,0,NA,0,0,53,NA,6,0.000012,NA,8.03619459572832,NA
"115","Monaco","Strong Support",0,0,0,NA,0,0,98,NA,2.18181818181818,0.00000199,-0.99180186,NA,NA
"116","Mongolia","Weak Support",0,74,0,6.22,0,0,120,10,123.5,0.0003291,-0.71638435,8.29037103135985,-0.41869006
"117","Montenegro","Strong Support",0,5.333333333,0,5.94,0,0,320,9,74.1555555555556,0.0000683,-0.14079772,8.87883321866756,0.15574734
"118","Morocco","No support",0,353.2,0,4.32,0,0,158,-4,78.4204793028322,0.003883,0.34148744,8.00931763113081,-0.061943848
"119","Mozambique","Strong Support",0,5.666666667,6,3.25476405253198,0,0,100,5,379.302816901408,0.0012405,0.51389509,6.24016460350606,-0.74626631
"120","Myanmar (Burma)","No support",0,174.6,85.2,1.48,0,0,84,2.4,12654.9710144928,0.005629,1.1650667,7.09400906707763,-1.2386076
"121","Namibia","Weak Support",0,13.33333333,0,4.92,0,0,77,6,62.9035087719298,0.0002004,-0.73311281,8.53567064309415,0.25377521
"122","Nauru","Weak Support",0,0,0,NA,0,1,60,NA,1,0.00000026,-0.54376024,9.09667326599056,-0.53627837
"123","Nepal","No support",0,7,0,3.26,0,0,103,6,223.505154639175,0.0015938,0.99833459,6.61258142906264,-1.0536406
"124","Netherlands","Strong Support",612.8,58.8,0,8.22,0.6609854,0,425,10,8.15625,0.0041365,-0.92611933,10.7982689568975,1.8328035
"125","New Zealand","Strong Support",3.4,45.25,0,8.68,0.256031,1,227,10,5.34210526315789,0.0008621,-1.5254533,10.6410074859979,1.8846775
"126","Nicaragua","No support",0,30.25,0,4.5,0,0,124,7.8,82.9106145251397,0.0003474,0.086607538,7.6267546953144,-0.81587517
"127","Niger","Strong Support",0,5.666666667,16.6,1.38,0,0,149,5.6,1336.22818791946,0.0005847,1.0665462,5.9666097246473,-0.60598773
"128","Nigeria","Strong Support",0,110.4,457.6,0.56,0,0,303,5.8,10328.9850746269,0.0090817,1.9254428,7.87035592047864,-0.96267271
"129","Norway","Strong Support",142.8,242,0,7.74,1.047055,0,385,10,2.2,0.0016982,-1.1617161,11.3419627781367,1.8647991
